Symbol	Description	Chromosome	Aliases
MIR92A1	microRNA 92a-1	13	C13orf25, MIR17HG, MIR92-1, MIRH1, MIRHG1, MIRN92-1, MIRN92A-1, MIRN92A1, miRNA92-1, mir-92a-1
MIR92A2	microRNA 92a-2	X	MIRN92-2, MIRN92A-2, MIRN92A2, mir-92a-2
MIR92B	microRNA 92b	1	MIRN92B, hsa-mir-92b, mir-92b
MIR93	microRNA 93	7	MIRN9, MIRN93, hsa-mir-93, miR-93
MIR935	microRNA 935	19	MIRN935, hsa-mir-935, mir-935
MIR937	microRNA 937	8	MIRN937, hsa-mir-937, mir-937
MIR938	microRNA 938	10	MIRN938, hsa-mir-938
MIR939	microRNA 939	8	MIRN939, hsa-mir-939, mir-939
MIR940	microRNA 940	16	MIRN940, hsa-mir-940, mir-940
MIR941-1	microRNA 941-1	20	MIRN941-1, mir-941-1
MIR941-2	microRNA 941-2	20	MIRN941-2
MIR941-3	microRNA 941-3	20	MIRN941-3
MIR941-4	microRNA 941-4	20	MIRN941-4
MIR942	microRNA 942	1	MIRN942, hsa-mir-942, mir-942
MIR944	microRNA 944	3	MIRN944, hsa-mir-944, mir-944
MIR95	microRNA 95	4	MIRN95, hsa-mir-95, miR-95
MIR96	microRNA 96	7	DFNA50, MIRN96, hsa-mir-96, miR-96, miRNA96
MIR98	microRNA 98	X	MIRN98, hsa-mir-98, miR-98
MIR99A	microRNA 99a	21	MIRN99A, mir-99a
MIR99B	microRNA 99b	19	MIRN99B, mir-99b
MIRLET7A1	microRNA let-7a-1	9	LET7A1, MIRNLET7A1, let-7a-1
MIRLET7A2	microRNA let-7a-2	11	LET7A2, MIRNLET7A2, let-7a-2
MIRLET7A3	microRNA let-7a-3	22	LET7A3, MIRNLET7A3, let-7a-3
MIRLET7B	microRNA let-7b	22	LET7B, MIRNLET7B, hsa-let-7b, let-7b
MIRLET7C	microRNA let-7c	21	LET7C, MIRNLET7C, hsa-let-7c, let-7c
MIRLET7D	microRNA let-7d	9	LET7D, MIRNLET7D, hsa-let-7d, let-7d
MIRLET7E	microRNA let-7e	19	LET7E, MIRNLET7E, hsa-let-7e, let-7e
MIRLET7F1	microRNA let-7f-1	9	LET7F1, MIRNLET7F1, let-7f-1
MIRLET7F2	microRNA let-7f-2	X	LET7F2, MIRNLET7F2, let-7f-2
MIRLET7G	microRNA let-7g	3	LET7G, MIRNLET7G, hsa-let-7g, let-7g
MIRLET7I	microRNA let-7i	12	LET7I, MIRNLET7I, hsa-let-7i, let-7i
MITF	melanogenesis associated transcription factor	3	CMM8, COMMAD, MI, WS2, WS2A, bHLHe32
MKI67	marker of proliferation Ki-67	10	KIA, MIB-, MIB-1, PPP1R105
MKL1	megakaryoblastic leukemia (translocation) 1	22	BSAC, MAL, MKL, MRTF-A
MKL2	MKL1/myocardin like 2	16	MRTF-B, MRTFB, NPD001
MKLN1	muskelin 1	7	TWA2
MKNK1	MAP kinase interacting serine/threonine kinase 1	1	MNK1
MKNK2	MAP kinase interacting serine/threonine kinase 2	19	GPRK7, MNK2
MKRN1	makorin ring finger protein 1	7	RNF61
MLF2	myeloid leukemia factor 2	12	NTN4
MLH1	mutL homolog 1	3	COCA2, FCC2, HNPCC, HNPCC2, hMLH1
MLH3	mutL homolog 3	14	HNPCC7
MLLT10	MLLT10, histone lysine methyltransferase DOT1L cofactor	10	AF10
MLLT11	MLLT11, transcription factor 7 cofactor	1	AF1Q
MLPH	melanophilin	2	SLAC2-A
MLST8	MTOR associated protein, LST8 homolog	16	GBL, GbetaL, LST8, POP3, WAT1
MLXIPL	MLX interacting protein like	7	CHREBP, MIO, MLX, MONDOB, WBSCR14, WS-bHLH, bHLHd14
MMD	monocyte to macrophage differentiation associated	17	MMA1, PAQR11, MMD
MME	membrane metalloendopeptidase	3	CALLA, CD10, CMT2T, NEP, SCA43, SFE
MMP1	matrix metallopeptidase 1	11	CLG, CLGN
MMP10	matrix metallopeptidase 10	11	SL-2, STMY2
MMP11	matrix metallopeptidase 11	22	SL-3, ST3, STMY3
MMP12	matrix metallopeptidase 12	11	HME, ME, MME, MMP-12
MMP13	matrix metallopeptidase 13	11	CLG3, MANDP1, MDST, MMP-13
MMP14	matrix metallopeptidase 14	14	MMP-14, MMP-X1, MT-MMP, MT-MMP 1, MT1-MMP, MT1MMP, MTMMP1, WNCHRS
MMP15	matrix metallopeptidase 15	16	MMP-15, MT2-MMP, MT2MMP, MTMMP2, SMCP-2
MMP16	matrix metallopeptidase 16	8	C8orf57, MMP-X2, MT-MMP2, MT-MMP3, MT3-MMP
MMP17	matrix metallopeptidase 17	12	MMP-17, MT4-MMP, MT4MMP, MTMMP4
MMP2	matrix metallopeptidase 2	16	CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1
MMP20	matrix metallopeptidase 20	11	AI2A2, MMP-20
MMP21	matrix metallopeptidase 21	10	HTX7, MMP-21
MMP24	matrix metallopeptidase 24	20	MMP-24, MMP25, MT-MMP 5, MT-MMP5, MT5-MMP, MT5MMP, MTMMP5
MMP25	matrix metallopeptidase 25	16	MMP-25, MMP20, MMP20A, MMPL1, MT-MMP 6, MT-MMP6, MT6-MMP, MT6MMP, MTMMP6
MMP26	matrix metallopeptidase 26	11	
MMP27	matrix metallopeptidase 27	11	MMP-27
MMP28	matrix metallopeptidase 28	17	EPILYSIN, MM28, MMP-25, MMP-28, MMP25
MMP3	matrix metallopeptidase 3	11	CHDS6, MMP-3, SL-1, STMY, STMY1, STR1
MMP7	matrix metallopeptidase 7	11	MMP-7, MPSL1, PUMP-1
MMP8	matrix metallopeptidase 8	11	CLG1, HNC, MMP-8, PMNL-CL
MMP9	matrix metallopeptidase 9	20	CLG4B, GELB, MANDP2, MMP-9
MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	10	MET18L, hMMS19, MMS19
MMS22L	MMS22 like, DNA repair protein	6	C6orf167, dJ39B17.2
MN1	MN1 proto-oncogene, transcriptional regulator	22	MGCR, MGCR1, MGCR1-PEN, dJ353E16.2
MNAT1	MNAT1, CDK activating kinase assembly factor	14	CAP35, MAT1, RNF66, TFB3
MNS16A	MNS16A minisatellite promoter	5	
MNX1	motor neuron and pancreas homeobox 1	7	HB9, HLXB9, HOXHB9, SCRA1
MOAP1	modulator of apoptosis 1	14	MAP-1, PNMA4
MOB1A	MOB kinase activator 1A	2	C2orf6, MATS1, MOB1, MOBK1B, MOBKL1B, Mob4B
MOB2	MOB kinase activator 2	11	HCCA2
MOB3B	MOB kinase activator 3B	9	C9orf35, MOB1D, MOBKL2B
MORC1	MORC family CW-type zinc finger 1	3	CT33, MORC, ZCW6
MORC2	MORC family CW-type zinc finger 2	22	CMT2Z, ZCW3, ZCWCC1
MORC3	MORC family CW-type zinc finger 3	21	NXP2, ZCW5, ZCWCC3
MORF4	mortality factor 4 (pseudogene)	4	CSR, CSRB, SEN, SEN1
MORF4L1	mortality factor 4 like 1	15	Eaf3, FWP006, HsT17725, MEAF3, MORFRG15, MRG15, S863-6
MORF4L2	mortality factor 4 like 2	X	MORFL2, MRGX
MOS	MOS proto-oncogene, serine/threonine kinase	8	MSV
MPC1	mitochondrial pyruvate carrier 1	6	BRP44L, CGI-129, MPYCD, SLC54A1, dJ68L15.3
MPC2	mitochondrial pyruvate carrier 2	1	BRP44, SLC54A2
MPG	N-methylpurine DNA glycosylase	16	AAG, ADPG, APNG, CRA36.1, MDG, Mid1, PIG11, PIG16, anpg
MPL	MPL proto-oncogene, thrombopoietin receptor	1	C-MPL, CD110V, THCYT2, TPOR, MPL
MPO	myeloperoxidase	17	
MPP3	membrane palmitoylated protein 3	17	DLG3
MPRIP	myosin phosphatase Rho interacting protein	17	M-RIP, MRIP, RHOIP3, RIP3, p116Rip
MRAS	muscle RAS oncogene homolog	3	M-RAs, R-RAS3, RRAS3
MRC2	mannose receptor C type 2	17	CD280, CLEC13E, ENDO180, UPARAP
MRE11	MRE11 homolog, double strand break repair nuclease	11	ATLD, HNGS1A, MRE11B, MRE11
MREG	melanoregulin	2	DSU, WDT2
MRGBP	MRG domain binding protein	20	C20orf20, Eaf7, MRG15BP, URCC4
MRM2	mitochondrial rRNA methyltransferase 2	7	FJH1, FTSJ2, HEL97, RRMJ2
MRM3	mitochondrial rRNA methyltransferase 3	17	RMTL1, RNMTL1
MRPL41	mitochondrial ribosomal protein L41	9	BMRP, MRP-L27, MRPL27, PIG3, RPML27
MRPL42P4	mitochondrial ribosomal protein L42 pseudogene 4	7	
MRPL45	mitochondrial ribosomal protein L45	17	L45mt, MRP-L45
MRPS11	mitochondrial ribosomal protein S11	15	HCC-2, MRP-S11, S11mt
MRPS18A	mitochondrial ribosomal protein S18A	6	HumanS18b, MRP-S18-3, MRPS18-3, S18bmt
MRPS18B	mitochondrial ribosomal protein S18B	6	C6orf14, HSPC183, HumanS18a, MRP-S18-2, MRPS18-2, PTD017, S18amt
MRPS26	mitochondrial ribosomal protein S26	20	C20orf193, GI008, MRP-S13, MRP-S26, MRPS13, NY-BR-87, RPMS13, dJ534B8.3
MRPS30	mitochondrial ribosomal protein S30	5	MRP-S30, PAP, PDCD9, S30mt
MRPS30-DT	MRPS30 divergent transcript	5	BRCAT54
MRPS7P1	mitochondrial ribosomal protein S7 pseudogene 1	8	
MRS2	MRS2, magnesium transporter	6	HPTL, MRS2
MS4A1	membrane spanning 4-domains A1	11	B1, Bp35, CD20, CVID5, LEU-16, MS4A2, S7
MS4A12	membrane spanning 4-domains A12	11	Ms4a10
MSH2	mutS homolog 2	2	COCA1, FCC1, HNPCC, HNPCC1, LCFS2
MSH3	mutS homolog 3	5	DUP, FAP4, MRP1
MSH5	mutS homolog 5	6	G7, MUTSH5, NG23, POF13
MSH6	mutS homolog 6	2	GTBP, GTMBP, HNPCC5, HSAP, p160
MSI1	musashi RNA binding protein 1	12	
MSI2	musashi RNA binding protein 2	17	MSI2H
MSLN	mesothelin	16	MPF, SMRP
MSMB	microseminoprotein beta	10	HPC13, IGBF, MSP, MSPB, PN44, PRPS, PSP, PSP-94, PSP57, PSP94
MSMP	microseminoprotein, prostate associated	9	PSMP
MSN	moesin	X	HEL70, IMD50
MSR1	macrophage scavenger receptor 1	8	CD204, SCARA1, SR-A, SR-AI, SR-AII, SR-AIII, SRA, phSR1, phSR2
MSRA	methionine sulfoxide reductase A	8	PMSR
MSRB3	methionine sulfoxide reductase B3	12	DFNB74
MST1	macrophage stimulating 1	3	D3F15S2, DNF15S2, HGFL, MSP, NF15S2
MST1R	macrophage stimulating 1 receptor	3	CD136, CDw136, NPCA3, PTK8, RON
MSTN	myostatin	2	GDF8, MSLHP
MSTO2P	misato family member 2, pseudogene	1	MSTO2
MSX1	msh homeobox 1	4	ECTD3, HOX7, HYD1, STHAG1
MSX2	msh homeobox 2	5	CRS2, FPP, HOX8, MSH, PFM, PFM1
MT1A	metallothionein 1A	16	MT-1A, MT-IA, MT1, MT1S, MTC
MT1DP	metallothionein 1D, pseudogene	16	MTM
MT1F	metallothionein 1F	16	MT1
MT1G	metallothionein 1G	16	MT1, MT1K
MT1X	metallothionein 1X	16	MT-1l, MT1
MT2A	metallothionein 2A	16	MT-2, MT-II, MT2
MT3	metallothionein 3	16	GIF, GIFB, GRIF, ZnMT3
MTA1	metastasis associated 1	14	
MTA2	metastasis associated 1 family member 2	11	MTA1L1, PID
MTA3	metastasis associated 1 family member 3	2	
MTAP	methylthioadenosine phosphorylase	9	BDMF, DMSFH, DMSMFH, HEL-249, LGMBF, MSAP, c86fus
MTBP	MDM2 binding protein	8	MDM2BP
MTDH	metadherin	8	3D3, AEG-1, AEG1, LYRIC, LYRIC/3D3
MTERF1	mitochondrial transcription termination factor 1	7	MTERF
MTFP1	mitochondrial fission process 1	22	HSPC242, MTP18
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	14	CIMAH, MTHFC, MTHFD
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	6	FTHFSDC1, MTC1THFS, dJ292B18.2
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	2	NMDMC
MTHFR	methylenetetrahydrofolate reductase	1	
MTM1	myotubularin 1	X	CNM, MTMX, XLMTM
MTMR3	myotubularin related protein 3	22	FYVE-DSP1, ZFYVE10
MTNR1A	melatonin receptor 1A	4	MEL-1A-R, MT1
MTNR1B	melatonin receptor 1B	11	FGQTL2, MEL-1B-R, MT2
MTO1	mitochondrial tRNA translation optimization 1	6	CGI-02, COXPD10
MTOR	mechanistic target of rapamycin kinase	1	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	1	HMAG, MS, cblG
MTRF1L	mitochondrial translational release factor 1 like	6	HMRF1L, MRF1L, mtRF1a
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	5	MSR, cblE
MTSS1	MTSS1, I-BAR domain containing	8	MIM, MIMA, MIMB
MTUS1	microtubule associated scaffold protein 1	8	ATBP, ATIP, ATIP3, ICIS, MP44, MTSG1
MUC1	mucin 1, cell surface associated	1	ADMCKD, ADMCKD1, CA 15-3, CD227, EMA, H23AG, KL-6, MAM6, MCD, MCKD, MCKD1, MUC-1, MUC-1/SEC, MUC-1/X/ZD, PEM, PEMT, PUM, MUC1
MUC12	mucin 12, cell surface associated	7	MUC-11, MUC-12, MUC11
MUC13	mucin 13, cell surface associated	3	DRCC1, MUC-13
MUC15	mucin 15, cell surface associated	11	MUC-15, PAS3, PASIII
MUC16	mucin 16, cell surface associated	19	CA125
MUC17	mucin 17, cell surface associated	7	MUC-17, MUC-3, MUC3
MUC2	mucin 2, oligomeric mucus/gel-forming	11	MLP, MUC-2, SMUC
MUC20	mucin 20, cell surface associated	3	MUC-20
MUC21	mucin 21, cell surface associated	6	C6orf205, KMQK697, MUC-21
MUC4	mucin 4, cell surface associated	3	ASGP, HSA276359, MUC-4
MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	11	MUC5, TBM, leB, mucin
MUC5B	mucin 5B, oligomeric mucus/gel-forming	11	MG1, MUC-5B, MUC5, MUC9
MUC6	mucin 6, oligomeric mucus/gel-forming	11	MUC-6
MUC7	mucin 7, secreted	4	MG2
MUCL1	mucin like 1	12	SBEM
MUS81	MUS81 structure-specific endonuclease subunit	11	SLX3
MUTYH	mutY DNA glycosylase	1	MYH
MVP	major vault protein	16	LRP, VAULT1
MX1	MX dynamin like GTPase 1	21	IFI-78K, IFI78, MX, MxA
MXD1	MAX dimerization protein 1	2	BHLHC58, MAD, MAD1
MXI1	MAX interactor 1, dimerization protein	10	MAD2, MXD2, MXI, bHLHc11
MXRA5	matrix remodeling associated 5	X	
MYB	MYB proto-oncogene, transcription factor	6	Cmyb, c-myb, c-myb_CDS, efg
MYBBP1A	MYB binding protein 1a	17	P160, PAP2, Pol5
MYBL1	MYB proto-oncogene like 1	8	A-MYB, AMYB
MYBL2	MYB proto-oncogene like 2	20	B-MYB, BMYB
MYC	MYC proto-oncogene, bHLH transcription factor	8	MRTLC, bHLHe39, c-Myc, MYC
MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	13	Myc-bp2, PAM, Phr
MYCL	MYCL proto-oncogene, bHLH transcription factor	1	L-Myc, LMYC1, bHLHe38, MYCL
MYCN	MYCN proto-oncogene, bHLH transcription factor	2	MODED, N-myc, NMYC, ODED, bHLHe37
MYCT1	MYC target 1	6	MTLC
MYD88	myeloid differentiation primary response 88	3	MYD88D
MYEOV	myeloma overexpressed	11	OCIM
MYH11	myosin heavy chain 11	16	AAT4, FAA4, SMHC, SMMHC
MYH9	myosin heavy chain 9	22	BDPLT6, DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHC-IIA, NMMHCA
MYL2	myosin light chain 2	12	CMH10, MLC-2s/v, MLC2
MYL9	myosin light chain 9	20	LC20, MLC-2C, MLC2, MRLC1, MYRL2
MYLK	myosin light chain kinase	3	AAT7, KRP, MLCK, MLCK1, MLCK108, MLCK210, MSTP0831, smMLCK, MYLK
MYLK2	myosin light chain kinase 2	20	KMLC, MLCK, MLCK2, skMLCK
MYNN	myoneurin	3	OSZF, SBBIZ1, ZBTB31, ZNF902
MYO10	myosin X	5	
MYO18A	myosin XVIIIA	17	MAJN, MYSPDZ, SP-R210, SPR210
MYO18B	myosin XVIIIB	22	KFS4
MYO1A	myosin IA	12	BBMI, DFNA48, MIHC, MYHL
MYO1B	myosin IB	2	MMI-alpha, MMIa, MYH-1c, myr1
MYO1C	myosin IC	17	MMI-beta, MMIb, NMI, myr2
MYO1D	myosin ID	17	PPP1R108, myr4
MYO5A	myosin VA	15	GS1, MYH12, MYO5, MYR12
MYO5B	myosin VB	18	
MYO6	myosin VI	6	DFNA22, DFNB37, Myo6-007, Myo6-008
MYO9B	myosin IXB	19	CELIAC4, MYR5
MYOC	myocilin	1	GLC1A, GPOA, JOAG, JOAG1, TIGR
MYOCD	myocardin	17	MYCD
MYOD1	myogenic differentiation 1	11	MYF3, MYOD, PUM, bHLHc1
MYOF	myoferlin	10	FER1L3
MYRF	myelin regulatory factor	11	C11orf9, MRF, Ndt80, pqn-47
MYT1	myelin transcription factor 1	20	C20orf36, MTF1, MYTI, NZF2, PLPB1, ZC2H2C1, ZC2HC4A
MYT1L	myelin transcription factor 1 like	2	MRD39, NZF1, ZC2H2C2, ZC2HC4B, myT1-L
MZB1	marginal zone B and B1 cell specific protein	5	MEDA-7, PACAP, pERp1
MZF1	myeloid zinc finger 1	19	MZF-1B, ZFP98, ZNF42, ZSCAN6, MZF1
N4BP2L1	NEDD4 binding protein 2 like 1	13	CG018
N4BP2L2	NEDD4 binding protein 2 like 2	13	92M18.3, CG005, CG016, PFAAP5
N6AMT1	N-6 adenine-specific DNA methyltransferase 1	21	C21orf127, HEMK2, MTQ2, N6AMT, PRED28, m.HsaHemK2P
NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	X	ARD1, ARD1A, ARD1P, DXS707, MCOPS1, NATD, OGDNS, TE2, hARD1
NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	4	Ga19, MRD50, NARG1, NAT1P, NATH, TBDN, TBDN100
NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	3	MAK3, NAT13, NAT13P, NAT5, NAT5P, SAN, hNaa50p
NAAA	N-acylethanolamine acid amidase	4	ASAHL, PLT
NACA	nascent polypeptide-associated complex alpha subunit	12	HSD48, NAC-alpha1, skNAC, NACA
NACC1	nucleus accumbens associated 1	19	BEND8, BTBD14B, BTBD30, NAC-1, NAC1, NECFM
NADK	NAD kinase	1	dJ283E3.1
NAF1	nuclear assembly factor 1 ribonucleoprotein	4	
NAGLU	N-acetyl-alpha-glucosaminidase	17	CMT2V, MPS-IIIB, MPS3B, NAG, UFHSD
NAIF1	nuclear apoptosis inducing factor 1	9	C9orf90, bA379C10.2
NAIP	NLR family apoptosis inhibitory protein	5	BIRC1, NLRB1, psiNAIP
NALCN	sodium leak channel, non-selective	13	CLIFAHDD, CanIon, IHPRF, IHPRF1, INNFD, VGCNL1, bA430M15.1
NAMPT	nicotinamide phosphoribosyltransferase	7	1110035O14Rik, PBEF, PBEF1, VF, VISFATIN
NANOG	Nanog homeobox	12	
NANOGP8	Nanog homeobox retrogene P8	15	NANOGP1, PN8
NAP1L1	nucleosome assembly protein 1 like 1	12	NAP1, NAP1L, NRP
NAP1L4	nucleosome assembly protein 1 like 4	11	NAP1L4b, NAP2, NAP2L, hNAP2
NAPG	NSF attachment protein gamma	18	GAMMASNAP
NAPSA	napsin A aspartic peptidase	19	KAP, Kdap, NAP1, NAPA, SNAPA
NARS	asparaginyl-tRNA synthetase	18	ASNRS1, NARS
NASP	nuclear autoantigenic sperm protein	1	FLB7527, HMDRA1, PRO1999
NAT1	N-acetyltransferase 1	8	AAC1, MNAT, NAT-1, NATI
NAT10	N-acetyltransferase 10	11	ALP, Kre33, NET43
NAT2	N-acetyltransferase 2	8	AAC2, NAT-2, PNAT
NAT6	N-acetyltransferase 6	3	FUS-2, FUS2
NAV3	neuron navigator 3	12	POMFIL1, STEERIN3, unc53H3
NBAT1	neuroblastoma associated transcript 1	6	CASC14, NBAT-1
NBL1	neuroblastoma 1, DAN family BMP antagonist	1	D1S1733E, DAN, DAND1, NB, NO3
NBN	nibrin	8	AT-V1, AT-V2, ATV, NBS, NBS1, P95
NBPF1	NBPF member 1	1	AB13, AB14, AB23, AD2, NBG, NBPF
NBPF10	NBPF member 10	1	AB6, AG1, NBPF9
NBPF12	NBPF member 12	1	COAS1, KIAA1245
NBPF13P	NBPF member 13, pseudogene	1	
NBPF14	NBPF member 14	1	DJ328E19.C1.1, NBPF
NBPF15	NBPF member 15	1	AB14, AG3, NBPF16
NBPF17P	NBPF member 17, pseudogene	1	NBPF23, NBPF23P
NBPF18P	NBPF member 18, pseudogene	1	
NBPF20	NBPF member 20	1	
NBPF21P	NBPF member 21, pseudogene	3	
NBPF22P	NBPF member 22, pseudogene	5	
NBPF25P	NBPF member 25, pseudogene	1	WI2-925H4.1
NBPF2P	NBPF member 2, pseudogene	1	
NBPF3	NBPF member 3	1	AE2
NBPF4	NBPF member 4	1	
NBPF6	NBPF member 6	1	
NBPF7	NBPF member 7	1	
NBPF8	NBPF member 8	1	NBPF8P
NBPF9	NBPF member 9	1	AE01
NBR1	NBR1, autophagy cargo receptor	17	1A1-3B, IAI3B, M17S2, MIG19
NBR2	neighbor of BRCA1 gene 2 (non-protein coding)	17	NCRNA00192
NCAM1	neural cell adhesion molecule 1	11	CD56, MSK39, NCAM
NCAM2	neural cell adhesion molecule 2	21	NCAM21
NCEH1	neutral cholesterol ester hydrolase 1	3	AADACL1, NCEH
NCF1	neutrophil cytosolic factor 1	7	NCF1A, NOXO2, SH3PXD1A, p47phox
NCF4	neutrophil cytosolic factor 4	22	CGD3, NCF, P40PHOX, SH3PXD4
NCK1	NCK adaptor protein 1	3	NCK, NCKalpha, nck-1
NCKAP1	NCK associated protein 1	2	HEM2, NAP1, NAP125, p125Nap1
NCKIPSD	NCK interacting protein with SH3 domain	3	AF3P21, DIP, DIP1, ORF1, SPIN90, VIP54, WASLBP, WISH
NCL	nucleolin	2	C23, Nsr1
NCOA1	nuclear receptor coactivator 1	2	F-SRC-1, KAT13A, RIP160, SRC1, bHLHe42, bHLHe74
NCOA2	nuclear receptor coactivator 2	8	GRIP1, KAT13C, NCoA-2, SRC2, TIF2, bHLHe75
NCOA3	nuclear receptor coactivator 3	20	ACTR, AIB-1, AIB1, CAGH16, CTG26, KAT13B, RAC3, SRC-3, SRC3, TNRC14, TNRC16, TRAM-1, bHLHe42, pCIP
NCOA4	nuclear receptor coactivator 4	10	ARA70, ELE1, PTC3, RFG
NCOA5	nuclear receptor coactivator 5	20	CIA, bA465L10.6
NCOA6	nuclear receptor coactivator 6	20	AIB3, ASC2, NRC, PRIP, RAP250, TRBP
NCOA7	nuclear receptor coactivator 7	6	ERAP140, ESNA1-AS, Nbla00052, Nbla10993, TLDC4, dJ187J11.3, NCOA7
NCOR1	nuclear receptor corepressor 1	17	N-CoR, N-CoR1, PPP1R109, TRAC1, hN-CoR
NCOR2	nuclear receptor corepressor 2	12	CTG26, N-CoR2, SMAP270, SMRT, SMRTE, SMRTE-tau, TNRC14, TRAC, TRAC-1, TRAC1
NCR2	natural cytotoxicity triggering receptor 2	6	CD336, LY95, NK-p44, NKP44, dJ149M18.1
NCR3	natural cytotoxicity triggering receptor 3	6	1C7, CD337, LY117, MALS, NKp30
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	11	B7-H6, B7H6, DKFZp686O24166
NCRUPAR	non-protein coding RNA, upstream of F2R/PAR1	5	NCRNA00193, ncR-uPAR
NCSTN	nicastrin	1	ATAG1874
MT-ND1	mitochondrially encoded NADH dehydrogenase 1	MT	MTND1, ND1
MT-ND2	mitochondrially encoded NADH dehydrogenase 2	MT	MTND2, ND2
ND2	NADH dehydrogenase subunit 2	MT	
MT-ND3	mitochondrially encoded NADH dehydrogenase 3	MT	MTND3, ND3
ND3	NADH dehydrogenase subunit 3	MT	
MT-ND4	mitochondrially encoded NADH dehydrogenase 4	MT	MTND4, ND4
MT-ND5	mitochondrially encoded NADH dehydrogenase 5	MT	MTND5, ND5
ND5	NADH dehydrogenase subunit 5	MT	
NDC80	NDC80, kinetochore complex component	18	HEC, HEC1, HsHec1, KNTC2, TID3, hsNDC80
NDFIP1	Nedd4 family interacting protein 1	5	N4WBP5
NDFIP2	Nedd4 family interacting protein 2	13	N4WBP5A
NDN	necdin, MAGE family member	15	HsT16328, PWCR
NDRG1	N-myc downstream regulated 1	8	CAP43, CMT4D, DRG-1, DRG1, GC4, HMSNL, NDR1, NMSL, PROXY1, RIT42, RTP, TARG1, TDD5
NDRG2	NDRG family member 2	14	SYLD
NDRG3	NDRG family member 3	20	
NDRG4	NDRG family member 4	16	BDM1, SMAP-8, SMAP8
NDST1	N-deacetylase and N-sulfotransferase 1	5	HSST, MRT46, NST1
NDST4	N-deacetylase and N-sulfotransferase 4	4	N-HSST, N-HSST 4, NDST-4, NHSST4
NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	19	B16.6, CDA016, CGI-39, GRIM-19, GRIM19
NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	5	B17.2L, MMTN, NDUFA12L, mimitin
NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	10	ASHI, CI-ASHI
NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	8	B22, CI-B22, LYRM3, UQOR22
NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	11	B14.5b, CI-B14.5b, HLC-1, NADHDH2
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	2	CI-75Kd, CI-75k, PRO1304
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	11	CI-30
NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)	11	LINC00084, NCRNA00084, TncRNA, VINC
NEBL	nebulette	10	LASP2, LNEBL
NECTIN1	nectin cell adhesion molecule 1	11	CD111, CLPED1, ED4, HIgR, HV1S, HVEC, OFC7, PRR, PRR1, PVRL1, PVRR, PVRR1, SK-12, nectin-1
NECTIN2	nectin cell adhesion molecule 2	19	CD112, HVEB, PRR2, PVRL2, PVRR2
NECTIN3	nectin cell adhesion molecule 3	3	CD113, CDW113, NECTIN-3, PPR3, PRR3, PVRL3, PVRR3
NECTIN4	nectin cell adhesion molecule 4	1	EDSS1, LNIR, PRR4, PVRL4, nectin-4
NEDD1	neural precursor cell expressed, developmentally down-regulated 1	12	GCP-WD, TUBGCP7
NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	15	NEDD4-1, RPF1
NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	18	NEDD4-2, NEDD4.2, PVNH7, RSP5, hNEDD4-2
NEDD8	neural precursor cell expressed, developmentally down-regulated 8	14	NEDD-8
NEDD9	neural precursor cell expressed, developmentally down-regulated 9	6	CAS-L, CAS2, CASL, CASS2, HEF1
NEFL	neurofilament light	8	CMT1F, CMT2E, NF-L, NF68, NFL, PPP1R110
NEIL1	nei like DNA glycosylase 1	15	FPG1, NEI1, hFPG1
NEIL2	nei like DNA glycosylase 2	8	NEH2, NEI2
NEIL3	nei like DNA glycosylase 3	4	FGP2, FPG2, NEI3, ZGRF3, hFPG2, hNEI3
NEK10	NIMA related kinase 10	3	
NEK11	NIMA related kinase 11	3	
NEK2	NIMA related kinase 2	1	HsPK21A, NLK1, PPP1R111, RP67, NEK2
NEK3	NIMA related kinase 3	13	HSPK36
NEK6	NIMA related kinase 6	9	SID6-1512
